event_id,start_date,start_time,location,end_date,end_time,duration,volume,disinfection,reason_code,TBOD(mg/L),cBOD(mg/L),TSS(mg/L),TP(mg/L),EColi(CFU/100ml),final_effluent_pH,final_effluent_total_ci(mg/L)
73,2020-08-04,20:03,HCS08,2020-08-04,21:56,1.88,9.848,No,"1,7",n/a,6,203,0.418,100000,n/a,n/a
74,2020-08-04,20:49,HCS04,2020-08-05,08:57,12.13,10.998,No,"1,7",n/a,11,66.9,0.507,470000,n/a,n/a
75,2020-08-17,15:05,HCG03,2020-08-17,22:02,1.30,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
76,2020-08-17,15:16,HC001,2020-08-17,15:40,0.40,0.997,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
77,2020-08-17,15:14,HCG14,2020-08-17,22:42,6.26,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
78,2020-08-17,15:56,S,2020-08-18,01:09,9.22,65.268,Yes,"1,7",64,n/a,61.5,1.87,6745000,7.17,0.00
79,2020-08-25,01:08,HCG03,2020-08-25,01:52,0.73,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
80,2020-08-25,01:16,HCG14,2020-08-25,02:08,0.87,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
81,2020-09-07,04:22,HCG03,2020-09-07,05:49,1.45,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
82,2020-09-07,04:31,HCG14,2020-09-07,05:36,1.08,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
83,2020-09-13,03:46,HCG03,2020-09-13,10:04,1.25,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
84,2020-09-13,09:32,HCG14,2020-09-13,10:07,0.58,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
85,2020-09-28,20:07,HCG03,2020-09-29,00:58,2.51,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
86,2020-09-28,23:18,HCG14,2020-09-29,00:56,1.07,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
87,2020-09-30,15:56,HCG03,2020-09-30,18:21,1.27,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
88,2020-09-30,16:43,HCG14,2020-09-30,16:59,0.27,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
89,2020-10-01,17:50,HCG03,2020-10-01,19:08,1.30,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
90,2020-10-01,18:03,HCG14,2020-10-01,19:00,0.95,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
91,2020-10-02,14:40,HCG03,2020-10-02,15:00,0.33,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
92,2020-10-04,16:31,HCG03,2020-10-04,17:24,0.88,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
93,2020-10-07,08:25,HCG03,2020-10-07,09:15,0.83,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
94,2020-10-13,02:51,HCG03,2020-10-13,03:36,0.75,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
95,2020-10-15,14:48,HCG03,2020-10-15,23:10,2.5,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
96,2020-10-15,22:36,HCG14,2020-10-17,09:20,24.93,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
97,2020-10-16,13:41,HCG03,2020-10-16,22:44,4.25,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
98,2020-10-19,21:55,HCG03,2020-10-20,04:13,5.35,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
99,2020-10-21,05:14,HCG03,2020-10-21,05:57,0.72,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
100,2020-10-22,06:15,HCG03,2020-10-22,06:56,0.68,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
101,2020-10-23,20:07,HCG03,2020-10-23,21:49,1.7,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
102,2020-10-23,20:08,HCG14,2020-10-28,06:44,95.04,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
103,2020-11-01,09:13,HCG03,2020-11-01,09:39,0.43,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
104,2020-11-15,09:07,HCG03,2020-11-15,15:22,1.89,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
105,2020-11-22,12:54,HCG03,2020-11-22,18:47,5.88,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
106,2020-11-26,02:32,HCG03,2020-11-26,02:58,0.43,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
107,2020-11-30,08:43,HCG03,2020-11-30,14:57,6.23,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
108,2020-11-30,11:32,HCG14,2020-11-30,12:19,0.78,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
109,2020-11-30,11:50,S,2020-12-01,03:08,15.3,125.225,No,"1,7",82,n/a,130,2.55,1450000,6.99,0.00
110,2020-12-12,13:16,HCG03,2020-12-12,15:33,2.28,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
111,2020-12-12,13:48,HCG14,2020-12-12,15:21,1.33,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
112,2020-12-28,04:39,S,2020-12-28,11:41,7.03,44.188,No,"1,2,7",32,n/a,70,1.33,930000,7.10,0.00
113,2020-12-28,01:19,HCG03,2020-12-28,06:58,4.94,n/a,No,"1,2,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
114,2020-12-30,18:43,S,2020-12-30,22:34,3.85,27.947,No,"1,2,7",70,n/a,93,1.79,930000,7.18,0.00
115,2020-12-30,13:10,HCG03,2020-12-30,19:47,4.23,n/a,No,"1,2,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
